anon_polygon_id,start,end,duration_days,severity,min_zscore,mean_zscore,cause,cause_confidence,climatology_source,explanation
AOI-0032,2018-05-17,2018-06-23,38,suppression,-1.77,-1.33,drought,0.7,polygon,"Осадков за 30 дней выпало 1 мм при норме 36 мм, это 4 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0032,2019-06-12,2019-06-22,11,suppression,-1.18,-0.97,drought,0.85,polygon,"Осадков за 30 дней выпало 12 мм при норме 37 мм, это 34 процентов от нормы. Наиболее вероятен дефицит влаги. При этом температура выше нормы на 3.2 градуса."
AOI-0032,2019-07-18,2019-07-22,5,suppression,-1.77,-1.44,cold,0.35,polygon,"Температура за период на 2.6 градуса ниже нормы, но это конец сезона (день года 199). Для созревающего посева холод означает ускоренное естественное отмирание, а не угнетение. Отдельного вмешательства обычно не требует."
AOI-0032,2019-10-02,2019-10-12,11,suppression,-1.88,-0.99,abrupt,0.6,polygon,"Резкое падение индекса на 2.6 стандартных отклонения за декаду. Похоже на одномоментное событие: уборку, потраву или механическое повреждение посева."
AOI-0032,2020-08-10,2020-08-20,11,suppression,-1.35,-1.13,drought,0.7,polygon,"Осадков за 30 дней выпало 6 мм при норме 24 мм, это 25 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0032,2021-04-08,2021-06-23,77,suppression,-1.72,-1.34,non_weather,0.5,polygon,"Осадков 29 мм при норме 34 мм (85 процентов), температура отличается от нормы на -0.1 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 77 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0032,2021-08-15,2021-08-24,10,critical,-2.09,-1.68,excess_water,0.55,polygon,Осадков выпало в 2.3 раза больше нормы. Возможно переувлажнение и подтопление посевов.
AOI-0032,2022-07-28,2022-09-06,41,suppression,-1.23,-0.99,non_weather,0.35,polygon,"Осадков 11 мм при норме 18 мм (64 процентов), температура отличается от нормы на 1.4 градуса. Ни один погодный порог не превышен, хотя осадков заметно меньше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0032,2023-04-12,2023-05-05,24,suppression,-1.24,-1.01,non_weather,0.5,polygon,"Осадков 40 мм при норме 36 мм (110 процентов), температура отличается от нормы на -0.8 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 24 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0032,2024-04-01,2024-06-17,78,suppression,-1.45,-1.21,drought,0.7,polygon,"Осадков за 30 дней выпало 20 мм при норме 40 мм, это 50 процентов от нормы. Наиболее вероятен дефицит влаги."
